Entité administrative;Nombre d'indépendants;Hommes;Femmes;15-24 ans;25-49 ans;50-64 ans;65 ans et plus;Moins de 30 ans;55 ans et +;Indépendants (aidants non compris);Aidants;Actifs à titre principal;Actifs à titre complémentaire;Actifs après la pension;Annee
Virton;3439;2209;1230;76;1768;1264;331;264;1122;3216;223;2317;787;335;2011
Dinant;10010;6700;3310;287;5577;3346;800;942;2827;9189;821;6760;2413;837;2011
Namur;24932;16363;8569;686;14523;7899;1824;2397;6489;23436;1496;16232;6802;1898;2011
Philippeville;5532;3590;1942;147;3096;1875;414;480;1534;5126;406;3687;1425;420;2011
Nivelles;40332;27016;13316;807;22553;13877;3095;3042;11217;38658;1674;29031;8128;3173;2010
Ath;6914;4431;2483;143;4020;2243;508;551;1855;6274;640;4854;1555;505;2010
Charleroi;23993;15711;8282;756;13786;7731;1720;2445;6361;22551;1442;16198;6051;1744;2010
Mons;14692;9307;5385;368;8529;4825;970;1407;3922;13655;1037;9961;3758;973;2010
Mouscron;4480;2779;1701;130;2653;1359;338;430;1141;3938;542;3408;733;339;2010
Soignies;12424;8083;4341;337;7344;3890;853;1142;3177;11479;945;8413;3148;863;2010
Thuin;11385;7347;4038;266;6435;3863;821;995;3143;10501;884;7909;2653;823;2010
Tournai;11120;7215;3905;258;6304;3752;806;906;3092;9949;1171;8001;2318;801;2010
Huy;8791;5846;2945;234;5064;2932;561;771;2319;8177;614;5909;2287;595;2010
Liège;39445;26009;13436;1034;22412;12946;3053;3908;10773;37209;2236;26510;9714;3221;2010
Verviers;23354;15830;7524;626;12945;7798;1985;2135;6575;21542;1812;16035;5229;2090;2010
Waremme;6363;4219;2144;145;3622;2145;451;524;1769;5923;440;4279;1609;475;2010
Arlon;2734;1638;1096;99;1504;915;216;312;751;2498;236;1952;566;216;2010
Bastogne;4722;3169;1553;139;2510;1566;507;430;1443;4288;434;3104;1112;506;2010
Marche-en-Famenne;5621;3815;1806;159;3037;1932;493;522;1592;5124;497;3769;1366;486;2010
Neufchâteau;6329;4363;1966;167;3412;2134;616;552;1906;5809;520;4030;1685;614;2010
Virton;3441;2244;1197;85;1799;1252;305;264;1071;3212;229;2324;803;314;2010
Dinant;9953;6655;3298;284;5569;3337;763;938;2756;9077;876;6808;2358;787;2010
